Stock Name,Risk Level
A,2
AA,2
AACG,5
AAL,3
AAMC,5
AAME,5
AAN,2
AAOI,4
AAON,3
AAP,2
AAPL,3
AAT,2
AAU,4
AAWW,2
AAXN,4
AB,2
ABB,2
ABBV,2
ABC,2
ABCB,2
ABEO,5
ABEV,2
ABG,2
ABIO,5
ABM,2
ABMD,4
ABR,2
ABT,2
ABTX,2
ABUS,4
AC,2
ACA,2
ACAD,4
ACAM,1
ACAMU,1
ACB,5
ACBI,2
ACC,2
ACCO,2
ACEL,1
ACER,5
ACGL,2
ACGLO,1
ACGLP,1
ACH,3
ACHC,4
ACHV,5
ACIA,4
ACIU,4
ACIW,2
ACLS,4
ACM,2
ACMR,4
ACN,2
ACNB,2
ACOR,3
ACP,1
ACRE,1
ACRS,4
ACRX,4
ACST,5
ACTG,3
ACTT,1
ACTTU,1
ACU,2
ACV,1
ACY,3
ADAP,4
ADBE,2
ADC,2
ADES,4
ADI,3
ADIL,5
ADM,2
ADMA,4
ADMP,5
ADMS,4
ADNT,3
ADP,2
ADPT,4
ADRO,4
ADS,2
ADSK,3
ADSW,2
ADT,3
ADTN,3
ADUS,3
ADVM,4
ADX,1
ADXN,5
ADXS,5
AE,4
AEB,1
AEE,2
AEF,2
AEFC,1
AEG,2
AEGN,3
AEHR,4
AEIS,3
AEL,2
AEM,3
AEMD,5
AEO,3
AEP,2
AER,2
AERI,4
AES,2
AESE,1
AEY,5
AEYE,5
AEZS,4
AFB,1
AFC,1
AFG,2
AFGC,5
AFGH,1
AFH,2
AFI,3
AFIN,2
AFINP,1
AFL,2
AFMD,4
AFT,1
AFYA,3
AG,4
AGBA,1
AGBAU,1
AGCO,2
AGD,1
AGE,5
AGEN,4
AGFS,4
AGI,4
AGIO,4
AGLE,4
AGM-A,2
AGM,2
AGMH,5
AGN,2
AGNC,1
AGNCM,1
AGNCN,1
AGNCO,1
AGNCP,5
AGO,2
AGR,2
AGRO,2
AGRX,4
AGS,3
AGTC,4
AGX,3
AGYS,3
AHC,2
AHCO,1
AHH,2
AHPI,4
AHT,2
AI,2
AIC,1
AIF,1
AIG,2
AIH,4
AIHS,5
AIKI,5
AIM,4
AIMC,2
AIMT,3
AIN,2
AINC,3
AINV,2
AIO,5
AIR,2
AIRG,4
AIRI,5
AIRT,5
AIRTP,5
AIT,2
AIV,2
AIW,1
AIZ,2
AIZP,2
AJG,2
AJRD,2
AJX,2
AJXA,2
AKAM,2
AKBA,4
AKCA,4
AKER,5
AKG,4
AKR,2
AKRO,5
AKRX,4
AKTS,4
AKTX,4
AL,2
ALAC,1
ALACR,1
ALACU,1
ALB,2
ALBO,4
ALC,5
ALCO,2
ALDX,4
ALE,2
ALEC,4
ALEX,2
ALG,2
ALGN,3
ALGR,1
ALGRU,1
ALGT,2
ALIM,4
ALJJ,5
ALK,3
ALKS,4
ALL,2
ALLE,2
ALLK,4
ALLO,3
ALLT,3
ALLY,2
ALNA,5
ALNY,4
ALO,4
ALOT,4
ALPN,4
ALRM,2
ALRN,5
ALRS,1
ALSK,3
ALSN,2
ALT,5
ALTG,1
ALTM,4
ALTR,3
ALUS,5
ALV,2
ALX,2
